id,title,type,genres,providers,vote_count,vote_average,weighted_score
630,오즈의 마법사,movie,"모험,판타지,가족",Watcha,5901,7.591,7.189088960739509
1114743,The Curse of the Clown Motel,movie,"공포,액션",기타,17,3.938,6.390646548906134
262775,Lovely Man,movie,드라마,기타,8,5.2,6.401261548886387
634,브리짓 존스의 일기,movie,"코미디,로맨스,드라마",Netflix,5334,6.741,6.61926587967057
131707,18+ : True Love Never Dies,movie,드라마,기타,5,3.5,6.39964435528309
637,인생은 아름다워,movie,"코미디,드라마",기타,13640,8.44,8.070749057773401
262783,Nottetempo,movie,스릴러,기타,3,7.2,6.4052297891509395
640,캐치 미 이프 유 캔,movie,"드라마,범죄",Watcha,16507,7.979,7.735305190585321
644,에이 아이,movie,"드라마,SF,모험",Watcha,6448,7.05,6.843965878619632
646,007 살인번호,movie,"모험,액션,스릴러",Watcha,3873,6.988,6.732204195436958
459403,Doddmane Hudga,movie,"드라마,액션,가족",기타,5,5.8,6.403442743445331
652,트로이,movie,"전쟁,액션,역사",기타,10704,7.165,6.997524751216986
950925,Hunting Souls,movie,공포,기타,2,3.0,6.4021897937099395
66194,Deadtime Stories,movie,"코미디,공포",기타,71,4.9,6.369913127118917
98962,Sor Citroen,movie,코미디,기타,21,6.0,6.401650430429453
665,벤허,movie,"역사,드라마,모험",Watcha,2979,7.888,7.140831653234985
670,올드보이,movie,"드라마,스릴러,미스터리,액션","Netflix, TVING",9362,8.245,7.795791002539853
671,해리 포터와 마법사의 돌,movie,"모험,판타지",wavve,28832,7.9,7.758090299361948
672,해리 포터와 비밀의 방,movie,"모험,판타지",wavve,22992,7.705,7.553889863770925
673,해리 포터와 아즈카반의 죄수,movie,"모험,판타지",wavve,22559,8.011,7.821176636725424
674,해리 포터와 불의 잔,movie,"모험,판타지",wavve,21602,7.8,7.628699075317166
675,해리 포터와 불사조 기사단,movie,"모험,판타지",wavve,20299,7.674,7.509458581317538
33444,Speedy Gonzales,movie,"애니메이션,가족,코미디,서부",기타,121,7.0,6.42736456612008
676,진주만,movie,"전쟁,로맨스,역사,액션",Disney Plus,6789,6.94,6.775013580869082
679,에이리언 2,movie,"액션,스릴러,SF",Disney Plus,10436,7.955,7.606767661573647
680,펄프 픽션,movie,"스릴러,범죄,코미디",기타,29296,8.488,8.293134951701346
262825,Veronica 2030,movie,SF,기타,14,3.714,6.392036899840309
426670,Dolly Parton's Christmas of Many Colors: Circle of Love,movie,"드라마,가족,TV 영화",기타,25,6.0,6.401123260944705
687,데드 맨 워킹,movie,드라마,Watcha,1433,7.32,6.69890098977805
164533,Dues dones,movie,드라마,기타,0,0.0,6.404440961442163
694,샤이닝,movie,"공포,스릴러",wavve,18348,8.2,7.946040974518969
66245,அருணாச்சலம்,movie,"액션,드라마,코미디",기타,28,7.3,6.4126608700108445
711,파인딩 포레스터,movie,"드라마,역사",Watcha,1158,7.116,6.601538355751586
983768,블랙 워런트,movie,"액션,미스터리,스릴러",기타,56,5.509,6.388152812984825
525020,Christmas Harmony,movie,"코미디,드라마,음악,TV 영화",기타,27,6.2,6.402630918827087
1180383,Christmas Keepsake,movie,"TV 영화,코미디,로맨스",기타,1,6.0,6.404307200044676
744,탑건,movie,"액션,드라마",Watcha,9191,7.061,6.898515937156537
745,식스 센스,movie,"미스터리,스릴러,드라마",Disney Plus,12394,7.948,7.6453676718637755
328426,노아의 방주,movie,"TV 영화,드라마,판타지",기타,13,5.731,6.401556940985335
747,새벽의 황당한 저주,movie,"공포,코미디",기타,8983,7.536,7.251112085198164
328432,España insólita,movie,다큐멘터리,기타,1,6.0,6.404307200044676
33521,드라큐라,movie,"공포,로맨스",기타,272,6.4,6.404074318598641
754,페이스 오프,movie,"액션,범죄,SF",Disney Plus,5656,7.049,6.824511701202392
752,브이 포 벤데타,movie,"액션,스릴러,SF",Watcha,15135,7.9,7.651042166919368
764,이블 데드,movie,공포,"Watcha, wavve",4289,7.278,6.916872538166075
765,이블 데드 2,movie,"공포,코미디,판타지",기타,3344,7.5,6.979873598161511
767,해리 포터와 혼혈왕자,movie,"모험,판타지",wavve,20267,7.682,7.516194234768098
131839,유령,movie,드라마,기타,1,8.0,6.404968663201179
769,좋은 친구들,movie,"드라마,범죄",기타,13788,8.453,8.084662489741895
770,바람과 함께 사라지다,movie,"드라마,전쟁,로맨스",Watcha,4229,7.925,7.291203079328022
66306,Kuppathu Raja,movie,드라마,기타,2,5.5,6.403842904865134
772,나 홀로 집에 2: 뉴욕을 헤매다,movie,"코미디,가족,모험",Disney Plus,10199,6.769,6.685657881803646
782,가타카,movie,"스릴러,SF,미스터리,로맨스",Watcha,6676,7.561,7.200554641912758
786,올모스트 페이머스,movie,"드라마,음악",기타,2978,7.498,6.947156492693244
787,미스터 & 미세스 스미스,movie,"액션,코미디,드라마,스릴러","Disney Plus, Watcha, wavve",10886,6.687,6.625594614127596
788,미세스 다웃파이어,movie,"코미디,드라마,가족",Disney Plus,6398,7.2,6.944744841098771
656150,Responsible Child,movie,"드라마,TV 영화",기타,18,6.556,6.405338173404948
792,플래툰,movie,"드라마,전쟁,액션",Watcha,4867,7.746,7.2320327076220705
806,오멘,movie,"공포,미스터리,스릴러",Disney Plus,1145,5.65,6.197167014601949
807,세븐,movie,"범죄,미스터리,스릴러",기타,22304,8.377,8.141585181195072
808,슈렉,movie,"애니메이션,코미디,판타지,모험,가족","Amazon Prime Video, Netflix",18125,7.753,7.560252144453985
809,슈렉 2,movie,"애니메이션,가족,코미디,판타지,모험,로맨스","Amazon Prime Video, Netflix",13023,7.305,7.135356624249331
1245993,코트 스틸링,movie,"범죄,스릴러,코미디",기타,536,6.904,6.47968505874644
810,슈렉 3,movie,"판타지,모험,애니메이션,코미디,가족",Netflix,9480,6.299,6.324491165841911
812,알라딘,movie,"애니메이션,가족,모험,판타지,로맨스",Disney Plus,11689,7.655,7.398063993722986
33586,Heavy Petting,movie,"코미디,로맨스",기타,45,4.222,6.37242575630952
830,금지된 행성,movie,"SF,모험",기타,1010,7.256,6.617721383240362
426814,더 도메스틱스,movie,"공포,스릴러",기타,493,6.132,6.36623599102716
843,화양연화,movie,"드라마,로맨스","Disney Plus, Netflix, TVING, Watcha, wavve",3080,8.093,7.256661627839787
1082195,디 오더,movie,"범죄,드라마,스릴러",Amazon Prime Video,761,6.585,6.440757017141104
854,마스크,movie,"로맨스,코미디,범죄,판타지",기타,10841,7.0,6.870153729915396
1114967,굿 포춘,movie,"코미디,판타지",기타,242,7.12,6.4574843013095276
855,블랙 호크 다운,movie,"액션,전쟁,역사","Watcha, wavve",6109,7.388,7.06243760677812
857,라이언 일병 구하기,movie,"전쟁,드라마,역사","Netflix, Watcha, wavve",16657,8.221,7.941993752416467
862,토이 스토리,movie,"가족,코미디,애니메이션,모험",Disney Plus,19301,8.0,7.783962409739249
863,토이 스토리 2,movie,"애니메이션,코미디,가족",Disney Plus,14473,7.602,7.395105583692763
1246049,드라큘라: 어 러브 테일,movie,"공포,판타지,로맨스",기타,432,7.0,6.478916010552621
33633,Oleanna,movie,드라마,기타,55,6.2,6.400787383043633
865,런닝맨,movie,"액션,스릴러,SF",Netflix,2622,6.5,6.448829545061667
361315,Arriving Tuesday,movie,"코미디,드라마,로맨스",기타,1,6.5,6.404472565833801
869,혹성탈출,movie,"스릴러,SF,액션,모험",Disney Plus,4267,5.763,6.028970622538285
